Erkrankungsdatum;ID;Wochentag Erkrankungsdatum;N(RKI-H);Untere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen [ohne Gl„ttung];Obere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen [ohne Gl„ttung];NF(RKI-H);Untere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen;Obere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen;R(RKI-H);Untere Grenze des 95%-Pr„diktionsintervalls der Reproduktionszahl R;Obere Grenze des 95%-Pr„diktionsintervalls der Reproduktionszahl R;R(RKI7-H);Untere Grenze des 95%-Pr„diktionsintervalls des 7-Tage-R Wertes;Obere Grenze des 95%-Pr„diktionsintervalls des 7-Tage-R Wertes;NF(RKI7-H);Neuberechnung R(RKI7);N(BF);Neuberechnung mit Formel  NF(RKI-H);Neuberechnung mit Formel R (RKI-H);Datum RKI-Tagesbericht;Wochentag RKI-Tagesbericht;N_{BF} [k+3,k+4];R(RKI-A);R(RKI7-A);NF(NEU-H);R(NEU-H);NF(NEU-HA);R(NEU-HA);NF_{BF,AF7} [k+3,k+7];R_{BF,AF7} [k,k+7];NF(NEU-A);R(NEU-A);NF(BF)[k+11];R_{BF,AF7} [k,k+14];MAE(RKI7-H vs. RKI-H);MAE(RKI7-H vs. RKI7-H);MAE(RKI7-H vs. NEU-H);MAE(RKI7-H vs. NEU-HA);MAE(RKI7-H vs. RKI-A);MAE(RKI7-H vs. NEU-A);MAE NF(RKI-H) vs. N(RKI-H);MAE NF(RKI7-H) vs. N(RKI-H);MAE NF(NEU-H) vs. N(RKI-H);MAE NF(NEU-HA) vs. N(RKI-H)
02.03.2020;0;Montag;307;292;323;226;214;239;;;;;;;;;;;;06.03.2020;Freitag;;;;;;;;;;;;;;;;;;;;;;;
03.03.2020;1;Dienstag;325;304;347;263;248;278;;;;;;;;;;;;07.03.2020;Samstag;;;;;;;;;;;;;;;;;;;;;;;
04.03.2020;2;Mittwoch;456;437;476;329;313;347;;;;;;;;;;;;08.03.2020;Sonntag;;;;;;;;;;;;;;;;;;;;;;;
05.03.2020;3;Donnerstag;507;483;529;399;379;419;;;;;;;;;;399;;09.03.2020;Montag;;;;667;;;;;;;;;;;;;;;;;;;
06.03.2020;4;Freitag;756;731;783;511;488;534;2,26;2,18;2,34;2,33;2,27;2,39;;;;511;;10.03.2020;Dienstag;157;;;906;;;;;;;;;;;;;;;;;;;
07.03.2020;5;Samstag;979;952;1008;674;650;699;2,57;2,47;2,68;2,54;2,48;2,58;555;;;675;;11.03.2020;Mittwoch;271;;;1224;;;;;;;;;;;;;;;;;;;
08.03.2020;6;Sonntag;1336;1298;1372;895;866;923;2,72;2,61;2,8;2,89;2,83;2,94;667;;;895;;12.03.2020;Donnerstag;802;;;1618;;;;;;;;;;;;;;;;;;;
09.03.2020;7;Montag;1981;1942;2025;1263;1230;1297;3,17;3,08;3,25;3,09;3,04;3,14;906;;157;1263;3,17;13.03.2020;Freitag;693;;;2059;3,09;;;696;;;;2380;;;;;;;;;;;
10.03.2020;8;Dienstag;2550;2498;2599;1711;1672;1751;3,35;3,27;3,44;3,18;3,14;3,23;1224;;271;1712;3,35;14.03.2020;Samstag;733;;;2577;2,85;;;837;;;;2897;;;;;;;;;;;
11.03.2020;9;Mittwoch;3219;3169;3275;2271;2226;2317;3,37;3,29;3,44;3,09;3,05;3,13;1618;3,09;802;2272;3,37;15.03.2020;Sonntag;1043;;;3074;2,51;;;947;;;;3337;;;;;;;;;;;
12.03.2020;10;Donnerstag;3594;3543;3650;2836;2788;2887;3,17;3,11;3,23;2,85;2,82;2,87;2059;2,85;693;2836;3,17;16.03.2020;Montag;1174;;;3555;2,20;4779;2,95;1233;;;;3644;;;;;;;;;;;
13.03.2020;11;Freitag;4379;4326;4430;3435;3384;3488;2,72;2,68;2,76;2,51;2,49;2,53;2577;2,51;733;3436;2,72;17.03.2020;Dienstag;1144;;;4129;2,00;5788;2,81;1556;2,24;;;4047;1,70;;;;;;;;;;
14.03.2020;12;Samstag;4458;4403;4511;3912;3860;3966;2,29;2,25;2,31;2,2;2,18;2,22;3074;2,20;1043;3913;2,29;18.03.2020;Mittwoch;1042;;;4507;1,75;6437;2,50;1838;2,20;;;4560;1,57;;;;;;;;;;
15.03.2020;13;Sonntag;4701;4646;4762;4283;4229;4338;1,89;1,87;1,91;2,01;1,99;2,02;3555;2,00;1174;4283;1,89;19.03.2020;Donnerstag;2801;;;4802;1,56;6835;2,22;1967;2,08;;;4848;1,45;;;;;;;418,00;1146,43;101,43;2134,11
16.03.2020;14;Montag;6000;5939;6079;4884;4828;4945;1,72;1,7;1,74;1,75;1,74;1,76;4129;1,75;1144;4885;1,72;20.03.2020;Freitag;2958;;;4958;1,39;7310;2,06;2380;1,93;2858;2,32;4947;1,36;;;;;;;1116,00;1871,29;1042,14;1309,59
17.03.2020;15;Dienstag;5197;5132;5273;5089;5030;5156;1,48;1,47;1,5;1,56;1,55;1,57;4507;1,56;1042;5089;1,48;21.03.2020;Samstag;2705;;;5088;1,23;7161;1,73;2897;1,86;3260;2,09;4925;1,22;;;;;;;108,00;690,14;109,43;1963,86
18.03.2020;16;Mittwoch;5288;5223;5351;5296;5235;5366;1,35;1,34;1,37;1,39;1,39;1,4;4802;1,39;2801;5297;1,35;22.03.2020;Sonntag;1948;;;5083;1,13;6904;1,53;3337;1,82;3212;1,75;5116;1,12;;;;;;;8,00;485,57;205,14;1615,77
19.03.2020;17;Donnerstag;4682;4618;4748;5292;5228;5362;1,24;1,23;1,25;1,23;1,23;1,24;4958;1,23;2958;5292;1,24;23.03.2020;Montag;4062;;;4959;1,03;6486;1,35;3644;1,85;3920;1,99;5288;1,09;;;;;;;610,00;275,86;276,57;1803,99
20.03.2020;18;Freitag;5287;5218;5354;5114;5048;5181;1,05;1,03;1,06;1,13;1,12;1,13;5088;1,13;2705;5114;1,05;24.03.2020;Dienstag;4764;;;4837;0,98;6043;1,22;4047;1,70;4808;2,02;5344;1,08;;;;;;;173,00;199,43;449,71;755,97
21.03.2020;19;Samstag;4425;4361;4487;4920;4855;4985;0,97;0,96;0,98;1,03;1,03;1,04;5083;1,03;1948;4921;0,97;25.03.2020;Mittwoch;4118;;;4680;0,92;5615;1,10;4560;1,57;5560;1,92;5314;1,08;;;;;;;495,00;657,86;255,14;1189,91
22.03.2020;20;Sonntag;3831;3777;3884;4556;4493;4618;0,86;0,85;0,87;0,98;0,97;0,98;4959;0,98;4062;4556;0,86;26.03.2020;Donnerstag;4954;;;4553;0,90;5094;1,00;4848;1,45;5754;1,72;5595;1,09;;;;;;;725,00;1127,57;722,00;1263,20
23.03.2020;21;Montag;5151;5080;5217;4673;4609;4735;0,88;0,87;0,89;0,92;0,92;0,92;4837;0,92;4764;4674;0,88;27.03.2020;Freitag;5780;;;4456;0,90;4746;0,96;4947;1,36;5955;1,63;5442;1,03;;;;;;;478,00;313,71;694,86;405,08
24.03.2020;22;Dienstag;4097;4036;4173;4376;4313;4440;0,86;0,85;0,86;0,9;0,89;0,9;4680;0,90;4118;4376;0,86;28.03.2020;Samstag;6294;;;4289;0,89;4384;0,91;4925;1,22;6425;1,59;5330;1,00;;;;;;;279,00;583,14;192,00;286,92
